,County,Vote Center ID,Address,City,Latitude,Longitude
125,BRYAN,15003,4060 WILMA EDWARDS RD,ELLABELL,32.173037,-81.514029
126,BRYAN,15005,500 CEDAR ST,RICHMOND HILL,33.463368,-81.9465
127,BRYAN,15010,16252 GA HWY 144,RICHMOND HILL,31.874879,-81.261462
128,BRYAN,15015,1955 SGT MICHAEL W LARSON DR,RICHMOND HILL,31.917764,-81.354565
129,BRYAN,15022,508 TIMBER TRAIL,RICHMOND HILL,31.92696,-81.304473
130,BULLOCH,16013,351 NORTH GRADY STREET,PORTAL,32.544362,-81.925515
131,BULLOCH,16002,5023 CLITO RD,STATESBORO,32.477036,-81.670135
132,BULLOCH,16001,63 LANIER RD,PEMBROKE,32.234955,-81.613814
133,BULLOCH,16004,416 NORTH CROMLEY ROAD,BROOKLET,32.389332,-81.662185
134,BULLOCH,16008,3023 HARVILLE ROAD,STATESBORO,32.338205,-81.773994
135,BULLOCH,16009,16942 US HWY 67,STATESBORO,32.394215,-81.752889
136,BULLOCH,16019,300 LEE AVE,BROOKLET,32.420482,-81.614226
137,BULLOCH,16003,4508 ROCKYFORD RD,PORTAL,32.594157,-81.874974
138,BULLOCH,16007,1757 METTS RD,STATESBORO,32.547995,-81.808794
139,BULLOCH,16010,8438 NEVILS GROVELAN ROAD,PEMBROKE,32.268295,-81.759859
140,BULLOCH,16018,1102 FAIR RD,STATESBORO,32.425057,-81.774761
141,BULLOCH,16006,10 CHURCH STREET,REGISTER,32.367236,-81.882006
142,BULLOCH,16015,4 SOUTH ZETTEROWER AVE,STATESBORO,32.448603,-81.777507
143,BULLOCH,16016,16894 HWY 119 CONN,BROOKLET,32.325398,-81.550096
144,BULLOCH,16011,1934 UNION CHURCH RD,REGISTER,32.284656,-81.835176
145,BULLOCH,16017,150 WILLIAMS ROAD,STATESBORO,32.459261,-81.794626
146,BURKE,17022,715 W 6TH ST,WAYNESBORO,33.085694,-82.031084
147,BURKE,17001,208 GA HIGHWAY 24 S,WAYNESBORO,33.085827,-82.040175
148,BURKE,17024,717 W 6TH,WAYNESBORO,33.085688,-82.031117
149,BURKE,17006,4627 GA HIGHWAY 24 S,SARDIS,33.018998,-81.86497
150,BURKE,17007,5289 GA HIGHWAY 23 S,WAYNESBORO,33.109692,-81.848697
151,BURKE,17008,1593 SPRING BRANCH CHURCH ROAD,WAYNESBORO,33.165322,-81.940748
152,BURKE,17010,9987 GA HIGHWAY 305,KEYSVILLE,33.098682,-82.22788
153,BURKE,17012,6340 GA HIGHWAY 56 S,MILLEN,32.942837,-82.143842
154,BURKE,17013,4595 ALEXANDER-MUNNERLYN ROAD,WAYNESBORO,33.019758,-81.879004
155,BURKE,17002,2458 GOUGH RED HILL RD,KEYSVILLE,33.135364,-82.121306
156,BURKE,17014,150 B BRIGHAM LANDING RD,GIRARD,33.052352,-81.705548
157,BURKE,17011,2973 WINTER ROAD,BLYTHE,33.210542,-82.13465
158,BURKE,17015,196 KILPATRICK STREET,MIDVILLE,32.819998,-82.237771
159,BURKE,17017,1209 ELLISON BRIDGE RD.,SARDIS,32.966898,-81.759119
160,BURKE,17018,7052 GA HIGHWAY 24 W,WAYNESBORO,33.038457,-82.244607
161,BURKE,17009,480 MARTIN LUTHER KING DRIVE,KEYSVILLE,33.240149,-82.220132
162,BUTTS,18012,625 W THIRD ST,JACKSON,33.293471,-83.973079
163,CALHOUN,19001,28007 MAIN ST,MORGAN,31.537814,-84.612078
164,CALHOUN,19007,326 MLK JR DR,ARLINGTON,31.441032,-84.726817
165,CALHOUN,19002,4411 E MAIN ST,LEARY,31.485403,-84.513049
166,CALHOUN,19011,460 TURNER ST,EDISON,31.555372,-84.738245
167,CALHOUN,19012,460 TURNER ST,EDISON,31.555372,-84.738245
168,CAMDEN,20002,10600 COLERAIN ROAD,SAINT MARYS,30.7812,-81.594993
169,CAMDEN,20002,10600 COLERAIN ROAD,SAINT MARYS,30.7812,-81.594993
170,CAMDEN,20035,333 SOUTH ASHLEY STREET,KINGSLAND,30.791236,-81.682742
171,CAMDEN,20009,531 NORTH LEE STREET,KINGSLAND,30.806636,-81.691008
172,CAMDEN,20006,7354 HARRIETTS BLUFF RD,WOODBINE,30.873031,-81.592855
173,CAMDEN,20001,140 COLERAIN ROAD,KINGSLAND,30.81101,-81.745885
174,CAMDEN,20001,140 COLERAIN ROAD,KINGSLAND,30.81101,-81.745885
175,CAMDEN,20013,1946 SPRING BLUFF ROAD,WAVERLY,31.082402,-81.622796
176,CAMDEN,20037,1050 WILDCAT DR,KINGSLAND,30.814638,-81.64758
177,CAMDEN,20060,101 PINE STREET,ST. MARYS,30.759225,-81.575763
178,CAMDEN,20052,400 OSBORNE ST,SAINT MARYS,30.724815,-81.547296
179,CAMDEN,20011,377 NEW POST RD,WHITE OAK,31.023158,-81.806114
180,CAMDEN,20010,101 MILLER STREET,SAINT MARYS,30.745411,-81.56287
181,CAMDEN,20014,310 BEDELL AVENUE,WOODBINE,30.96795,-81.724
182,CANDLER,21002,621 W PINE STREET,METTER,32.391531,-82.071237
183,CANDLER,21002,621 W PINE STREET,METTER,32.391531,-82.071237
184,CANDLER,21002,621 W PINE STREET,METTER,32.391531,-82.071237
185,CANDLER,21002,621 W PINE STREET,METTER,32.391531,-82.071237
186,CARROLL,22002,2868 CARROLLTON VR HWY,CARROLLTON,33.666261,-85.037319
187,CARROLL,22003,167 WEST AVE,CARROLLTON,33.596632,-84.969618
188,CARROLL,22005,101 BARR AVE,BOWDON,33.529145,-85.252929
189,CARROLL,22006,2176 CENTER POINT RD,TEMPLE,33.68573,-85.061819
190,CARROLL,22017,2675 S HIGHWAY 16,CARROLLTON,33.533358,-85.012645
191,CARROLL,22008,155 GA HIGHWAY 113,CARROLLTON,33.605176,-85.077043
192,CARROLL,22009,6230 LAKEVIEW PARKWAY,VILLA RICA,33.650498,-84.905264
193,CARROLL,22012,646 INDUSTRIAL BLVD,VILLA RICA,33.747821,-84.937565
194,CARROLL,22026,2965 N HIGHWAY 100,WACO,33.623532,-85.268937
195,CARROLL,22014,116 LUMPKIN DR,CARROLLTON,33.599926,-85.061158
196,CARROLL,22015,4585 E HIGHWAY 166,CARROLLTON,33.612945,-84.935421
197,CARROLL,22016,3915 CTON VILLA RICA HWY,VILLA RICA,33.793877,-84.893865
198,CARROLL,22004,4685 N HIGHWAY 27,CARROLLTON,33.673046,-85.149274
199,CARROLL,22018,4455 MOUNT ZION RD,MT ZION,33.634258,-85.185065
200,CARROLL,22007,710 ROME ST,CARROLLTON,33.58539,-85.075046
201,CARROLL,22021,2829 OAK GROVE CHURCH RD,CARROLLTON,33.525508,-85.086631
202,CARROLL,22022,77 OLD CAMP CHURCH RD,CARROLLTON,33.55719,-85.135223
203,CARROLL,22023,524 LESLIE DR,VILLA RICA,33.727433,-84.929734
204,CARROLL,22024,835 N. HIGHWAY 27,ROOPVILLE,33.474687,-85.107538
205,CARROLL,22025,1874 BURWELL RD,CARROLLTON,33.579034,-85.205422
206,CARROLL,22027,245 COTTAGE HILL RD,CARROLLTON,33.554334,-85.081776
207,CARROLL,22034,280 ROME ST,TEMPLE,33.740731,-85.031506
208,CARROLL,22035,280 ROME ST,TEMPLE,33.740731,-85.031506
209,CARROLL,22029,4514 TYUS CARROLLTON RD,CARROLLTON,33.468705,-85.195737
210,CARROLL,22031,00 Z 6 FOOD SERVICE BLD,CARROLLTON,33.604458,-85.04987
211,CARROLL,22013,1605 CTON VILLA RICA HWY,VILLA RICA,33.689847,-84.947308
212,CARROLL,22030,425 WILLIE NORTH DR,CARROLLTON,33.584436,-85.086528
213,CARROLL,22032,50 BOOSTER FIELD RD,WHITESBURG,33.501263,-84.922229
214,CATOOSA,23001,773 GORDY CIR,TUNNEL HILL,34.880285,-85.053899
215,CATOOSA,23002,4057 BOYNTON DR,RINGGOLD,34.922665,-85.18744
216,CATOOSA,23003,2803 KEITH RD,RINGGOLD,34.928885,-85.031559
217,CATOOSA,23004,4346 LONG HOLLOW RD,ROCK SPRING,34.870262,-85.229048
218,CATOOSA,23006,205 FORREST RD,FT OGLETHORPE,34.949079,-85.255681
219,CATOOSA,23007,967 GRAYSVILLE RD,RINGGOLD,34.970564,-85.156762
220,CATOOSA,23008,452 HUDSON ST,ROSSVILLE,34.973248,-85.259128
221,CATOOSA,23009,470 ROLLINS INDUSTRIAL COURT,RINGGOLD,34.898045,-85.12048
222,CATOOSA,23010,5238 EVITT ST,RINGGOLD,34.915487,-85.106602
223,CATOOSA,23011,3319 LAKEVIEW DR,ROSSVILLE,34.961518,-85.225175
224,CATOOSA,23012,36 E NICKAJACK RD,RINGGOLD,34.804495,-85.147703
225,CHARLTON,24001,34438 OKEFENOKEE DRIVE,FOLKSTON,30.799069,-82.031388
226,CHARLTON,24002,2561 HIGHWAY 121,ST. GEORGE,30.395239,-82.122218
227,CHARLTON,24004,541 FIRST ST,FOLKSTON,30.831965,-82.007643
228,CHARLTON,24006,97 RAILROAD STREET,FOLKSTON,30.830512,-82.008354
229,CHARLTON,24007,387 PENNSYLVANIA AVENUE,HOMELAND,0,0
230,CHARLTON,24009,3562 CARTER COMMUNITY ROAD,FOLKSTON,30.966764,-82.113238
231,CHARLTON,24010,13063 FLORIDA AVENUE,ST. GEORGE,30.523215,-82.037393
232,CHARLTON,24011,18829 HIGHWAY 301,FOLKSTON,31.040379,-82.020135
233,CHATHAM,25005,207 E MONTGOMERY CROSSROADS,SAVANNAH,31.996077,-81.11689
234,CHATHAM,25006,3001 HOPKINS ST,SAVANNAH,32.053669,-81.117693
235,CHATHAM,25008,4700 SKIDAWAY ROAD,SAVANNAH,32.024674,-81.070862
236,CHATHAM,25009,202 E MOORE STREET,BLOOMINGDALE,32.129946,-81.298428
237,CHATHAM,25089,78 VAN HORN DR,TYBEE ISLAND,32.023517,-80.849962
238,CHATHAM,25012,1909 CYNTHIA ST,SAVANNAH,32.064134,-81.126652
239,CHATHAM,25013,603 WEST VICTORY DR,SAVANNAH,32.05405,-81.108675
240,CHATHAM,25082,905 COLLAT ST,SAVANNAH,32.072677,-81.126728
241,CHATHAM,25021,632 STEPHENSON AVENUE,SAVANNAH,32.010977,-81.100923
242,CHATHAM,25069,1805 E GWINNETT ST,SAVANNAH,32.058952,-81.066243
243,CHATHAM,25080,1023 DUTCHTOWN RD,SAVANNAH,31.98894,-81.160176
244,CHATHAM,25138,1601 BENTON BLVD,SAVANNAH,32.156331,-81.242592
245,CHATHAM,25015,301 W OGLETHORPE AVE,SAVANNAH,32.076444,-81.096681
246,CHATHAM,25110,275 BERWICK BLVD,SAVANNAH,32.034699,-81.230329
247,CHATHAM,25134,2 CANEBRAKE RD,SAVANNAH,31.99877,-81.270764
248,CHATHAM,25035,81 COFFEE BLUFF VILLA RD,SAVANNAH,31.945634,-81.149298
249,CHATHAM,25061,2 LAURA ST,SAVANNAH,32.066755,-81.05032
250,CHATHAM,25019,2 LAURA ST,SAVANNAH,32.066755,-81.05032
251,CHATHAM,25020,183 WILSHIRE BLVD,SAVANNAH,31.98381,-81.137135
252,CHATHAM,25031,1402 HARMON ST,SAVANNAH,32.058356,-81.083979
253,CHATHAM,25022,10050 FERGUSON AVENUE,SAVANNAH,31.952584,-81.103114
254,CHATHAM,25023,402 TREAT ST,SAVANNAH,32.05952,-81.055994
255,CHATHAM,25028,35 NELSON AVE,GARDEN CITY,32.111824,-81.151596
256,CHATHAM,25055,204 US HIGHWAY 80,POOLER,32.117393,-81.249959
257,CHATHAM,25024,6613 JOHNNY MERCER BLVD,SAVANNAH,32.017954,-80.975458
258,CHATHAM,25025,520 WASHINGTON AVE,SAVANNAH,32.046898,-81.09078
259,CHATHAM,25027,78 VARNEDOE AVENUE,GARDEN CITY,32.112201,-81.15752
260,CHATHAM,25029,1516 KING GEORGE BLVD,SAVANNAH,31.975685,-81.228932
261,CHATHAM,25033,6412 WATERS AVENUE,SAVANNAH,32.011755,-81.097881
262,CHATHAM,25011,14 W ANDERSON ST,SAVANNAH,32.062878,-81.098754
263,CHATHAM,25037,622 EAST 37TH ST,SAVANNAH,32.055103,-81.091715
264,CHATHAM,25039,7375 HODGSON MEMORIAL DR,SAVANNAH,32.000344,-81.114339
265,CHATHAM,25041,4601 US HIGHWAY 80 E,SAVANNAH,32.042288,-81.012606
266,CHATHAM,25040,169 WHITEMARSH ISLAND RD,SAVANNAH,32.037295,-81.007048
267,CHATHAM,25042,22 ROSE AVENUE,SAVANNAH,31.980434,-81.059062
268,CHATHAM,25044,5111 ABERCORN ST,SAVANNAH,32.030213,-81.10899
269,CHATHAM,25045,1800 EAST DERENNE AVE,SAVANNAH,32.023875,-81.082936
270,CHATHAM,25059,5201 MONTGOMERY ST,SAVANNAH,32.032638,-81.114213
271,CHATHAM,25056,1000 LAKE SHORE BLVD,PORT WENTWORTH,0,0
272,CHATHAM,25046,430 TIBET AVE,SAVANNAH,31.994275,-81.142499
273,CHATHAM,25048,1401 MILLS B LANE BLVD,SAVANNAH,32.050539,-81.128708
274,CHATHAM,25054,401 QUARTERMAN RD,SAVANNAH,32.03299,-80.972987
275,CHATHAM,25223,175 BOURNE AVE,SAVANNAH,32.1153,-81.236346
276,CHATHAM,25050,1410 RICHARDS ST,SAVANNAH,32.085378,-81.117611
277,CHATHAM,25111,5100 LA ROCHE AVE,SAVANNAH,32.020168,-81.067781
278,CHATHAM,25001,2023 TENNESSEE AVE,SAVANNAH,32.050799,-81.063691
279,CHATHAM,25135,7202 CENTRAL AVE,SAVANNAH,31.997148,-81.077831
280,CHATHAM,25053,124 BULL ST,SAVANNAH,32.077586,-81.091619
281,CHATHAM,25057,101 TURNBERRY ST,PORT WENTWORTH,0,0
282,CHATHAM,25107,100 COMMERCE CT,POOLER,32.091636,-81.257322
283,CHATHAM,25222,900 S ROGERS ST,POOLER,32.108092,-81.251419
284,CHATHAM,25058,5321 OGEECHEE ROAD,SAVANNAH,32.040779,-81.202484
285,CHATHAM,25060,112 FELL ST,SAVANNAH,32.087505,-81.120248
286,CHATHAM,25218,100 MULBERRY ST,PORT WENTWORTH,34.044553,-83.716837
287,CHATHAM,25078,939 WHEATON ST,SAVANNAH,32.066074,-81.080087
288,CHATHAM,25064,216 E ROTHWELL STREET,POOLER,32.118228,-81.245219
